Block,Trial,Animal,FoodOption1,FoodOption2,FoodOption1Outcome,FoodOption2Outcome,FoodOption1Probability,PercUnc_label,Condition,Identity,TrialType
2,45,Bear,Fish,Apple,1,0,0.2,clear,social,39,task
2,46,Bear,Fish,Apple,0,1,0.2,clear,social,42,task
2,47,Bear,Fish,Apple,0,1,0.2,clear,social,44,task
2,48,Bear,Fish,Apple,1,0,0.2,clear,social,43,task
2,49,Bear,Fish,Apple,0,1,0.2,ambiguous,social,64,task
2,50,Bear,Fish,Apple,0,1,0.2,ambiguous,social,40,task
2,51,Bear,Fish,Apple,0,1,0.2,ambiguous,social,65,task
2,52,Bear,Fish,Apple,0,1,0.2,ambiguous,social,42,task
2,53,Bear,Fish,Apple,0,1,0.2,ambiguous,social,63,task
2,54,Bear,Fish,Apple,1,0,0.2,ambiguous,social,43,task
2,55,Bear,Fish,Apple,0,1,0.2,clear,social,11,task
2,56,Bear,Fish,Apple,0,1,0.2,clear,social,64,task
2,57,Bear,Fish,Apple,0,1,0.2,clear,social,40,task
2,58,Bear,Fish,Apple,0,1,0.2,clear,social,39,task
2,59,Bear,Fish,Apple,0,1,0.2,ambiguous,social,44,task
2,60,Bear,Fish,Apple,1,0,0.2,ambiguous,social,65,task
2,61,Bear,Fish,Apple,0,1,0.2,ambiguous,social,63,task
2,62,Bear,Fish,Apple,0,1,0.2,ambiguous,social,42,task
2,63,Bear,Fish,Apple,0,1,0.2,ambiguous,social,44,task
2,64,Bear,Fish,Apple,0,1,0.2,ambiguous,social,40,task
2,65,Bear,Fish,Apple,1,0,0.8,clear,social,43,task
2,66,Bear,Fish,Apple,1,0,0.8,clear,social,39,task
2,67,Bear,Fish,Apple,1,0,0.8,clear,social,64,task
2,68,Bear,Fish,Apple,1,0,0.8,clear,social,65,task
2,69,Bear,Fish,Apple,1,0,0.8,clear,social,11,task
2,70,Bear,Fish,Apple,0,1,0.8,clear,social,44,task
2,71,Bear,Fish,Apple,1,0,0.8,clear,social,64,task
2,72,Bear,Fish,Apple,1,0,0.8,ambiguous,social,42,task
2,73,Bear,Fish,Apple,0,1,0.8,ambiguous,social,39,task
2,74,Bear,Fish,Apple,1,0,0.8,ambiguous,social,43,task
2,75,Bear,Fish,Apple,1,0,0.8,ambiguous,social,11,task
2,76,Bear,Fish,Apple,1,0,0.8,clear,social,65,task
2,77,Bear,Fish,Apple,0,1,0.8,clear,social,63,task
2,78,Bear,Fish,Apple,1,0,0.8,clear,social,40,task
2,79,Bear,Fish,Apple,1,0,0.8,clear,social,43,task
2,80,Bear,Fish,Apple,1,0,0.8,ambiguous,social,11,task
2,81,Bear,Fish,Apple,1,0,0.8,ambiguous,social,42,task
2,82,Bear,Fish,Apple,1,0,0.8,ambiguous,social,39,task
2,83,Bear,Fish,Apple,0,1,0.8,ambiguous,social,44,task
2,84,Bear,Fish,Apple,1,0,0.8,ambiguous,social,40,task
